[2020-02-27 08:02:55,109] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-27 08:02:55,254] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-28 08:14:21,629] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-28 08:14:21,829] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-29 16:45:36,507] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-29 16:45:36,604] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-01 14:35:27,612] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-01 14:35:27,802] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:23:16,484] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 08:23:16,673] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:29:39,474] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 08:29:39,552] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:29:48,870] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 08:29:48,982] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:29:49,939] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-02 08:29:49,941] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-02 08:29:49,942] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-02 08:29:49,943] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-02 08:49:50,252] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 08:49:50,372] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:50:22,875] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 08:50:22,953] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 08:50:23,436] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-02 08:50:23,436] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-02 08:50:23,452] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-02 08:50:23,452] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-02 09:00:09,881] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:00:09,979] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:00:10,591] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-02 09:00:10,593] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-02 09:00:10,595] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-02 09:00:10,595] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-02 09:00:35,269] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:00:35,417] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:00:52,378] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:00:52,503] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:01:27,125] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:01:27,324] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:03:59,656] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:03:59,821] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:04:06,309] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:04:06,475] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:04:12,128] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:04:12,256] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:14:24,715] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,716] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,749] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,749] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,767] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,767] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,806] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,807] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,824] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,825] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,867] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,867] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:24,950] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:24,950] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:25,013] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:25,013] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:25,093] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:25,093] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:14:25,144] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:14:25,144] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:15:52,985] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:15:53,069] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:16:35,530] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:16:35,641] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:16:36,803] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:16:36,804] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:16:36,837] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:16:36,837] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:16:36,866] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:16:36,866] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:16:36,886] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:16:36,886] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:17:05,385] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:17:05,497] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:17:06,884] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:17:06,884] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:17:06,907] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:17:06,907] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:17:06,917] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:17:06,917] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:44,126] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:19:44,335] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:19:47,761] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:19:48,045] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 09:19:53,607] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:53,610] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:53,642] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:53,642] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:53,658] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:53,658] INFO The cleaning for partition hello-producer-topic-sample-1 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:54,446] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:54,456] INFO The cleaning for partition hello-producer-topic-sample-3 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:54,579] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:54,580] INFO The cleaning for partition hello-producer-topic-sample-0 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:54,718] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:54,719] INFO The cleaning for partition hello-producer-topic-sample-4 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:54,733] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted and paused (kafka.log.LogCleaner)
[2020-03-02 09:19:54,733] INFO The cleaning for partition hello-producer-topic-sample-2 is aborted (kafka.log.LogCleaner)
[2020-03-02 09:19:55,538] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 09:19:55,672] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 10:32:42,079] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 10:32:42,199] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 10:33:04,025] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 10:33:04,166] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-02 10:33:09,505] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-02 10:33:09,624] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-04 09:05:07,244] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-04 09:05:07,392] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-04 09:05:35,713] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-04 09:05:35,862] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
